n_interacao,rss
1,707.271017
2,232.50878
3,131.846692
4,110.494831
5,105.956951
6,104.983681
7,104.76612
8,104.708774
9,104.685396
10,104.669222
11,104.654576
12,104.640257
13,104.626009
14,104.611779
15,104.597554
16,104.583333
17,104.569115
18,104.554899
19,104.540686
20,104.526475
21,104.512268
22,104.498063
23,104.483861
24,104.469661
25,104.455464
26,104.44127
27,104.427079
28,104.41289
29,104.398704
30,104.384521
31,104.37034
32,104.356162
33,104.341987
34,104.327814
35,104.313645
36,104.299477
37,104.285313
38,104.271151
39,104.256992
40,104.242836
41,104.228682
42,104.214531
43,104.200383
44,104.186237
45,104.172094
46,104.157954
47,104.143817
48,104.129682
49,104.11555
50,104.10142
51,104.087293
52,104.073169
53,104.059048
54,104.044929
55,104.030813
56,104.0167
57,104.002589
58,103.988481
59,103.974376
60,103.960273
61,103.946173
62,103.932076
63,103.917982
64,103.90389
65,103.889801
66,103.875714
67,103.86163
68,103.847549
69,103.83347
70,103.819395
71,103.805322
72,103.791251
73,103.777183
74,103.763118
75,103.749056
76,103.734996
77,103.720939
78,103.706885
79,103.692833
80,103.678784
81,103.664737
82,103.650694
83,103.636653
84,103.622614
85,103.608579
86,103.594545
87,103.580515
88,103.566487
89,103.552462
90,103.53844
91,103.52442
92,103.510403
93,103.496389
94,103.482377
95,103.468368
96,103.454362
97,103.440358
98,103.426357
99,103.412359
100,103.398363
101,103.38437
102,103.37038
103,103.356392
104,103.342407
105,103.328424
106,103.314445
107,103.300468
108,103.286493
109,103.272521
110,103.258552
111,103.244586
112,103.230622
113,103.216661
114,103.202702
115,103.188746
116,103.174793
117,103.160843
118,103.146895
119,103.13295
120,103.119007
121,103.105067
122,103.09113
123,103.077195
124,103.063263
125,103.049334
126,103.035407
127,103.021483
128,103.007562
129,102.993643
130,102.979727
131,102.965814
132,102.951903
133,102.937995
134,102.924089
135,102.910187
136,102.896286
137,102.882389
138,102.868494
139,102.854602
140,102.840712
141,102.826825
142,102.812941
143,102.799059
144,102.78518
145,102.771303
146,102.75743
147,102.743558
148,102.72969
149,102.715824
150,102.701961
151,102.6881
152,102.674242
153,102.660387
154,102.646534
155,102.632684
156,102.618837
157,102.604992
158,102.59115
159,102.57731
160,102.563474
161,102.549639
162,102.535808
163,102.521979
164,102.508152
165,102.494329
166,102.480507
167,102.466689
168,102.452873
169,102.43906
170,102.425249
171,102.411441
172,102.397636
173,102.383833
174,102.370033
175,102.356236
176,102.342441
177,102.328649
178,102.314859
179,102.301072
180,102.287288
181,102.273506
182,102.259727
183,102.24595
184,102.232177
185,102.218405
186,102.204637
187,102.190871
188,102.177107
189,102.163347
190,102.149588
191,102.135833
192,102.12208
193,102.10833
194,102.094582
195,102.080837
196,102.067095
197,102.053355
198,102.039617
199,102.025883
200,102.012151
201,101.998421
202,101.984695
203,101.97097
204,101.957249
205,101.94353
206,101.929814
207,101.9161
208,101.902389
209,101.88868
210,101.874974
211,101.861271
212,101.84757
213,101.833872
214,101.820177
215,101.806484
216,101.792794
217,101.779106
218,101.765421
219,101.751738
220,101.738059
221,101.724381
222,101.710707
223,101.697035
224,101.683365
225,101.669698
226,101.656034
227,101.642372
228,101.628713
229,101.615057
230,101.601403
231,101.587752
232,101.574103
233,101.560457
234,101.546814
235,101.533173
236,101.519534
237,101.505899
238,101.492266
239,101.478635
240,101.465007
241,101.451382
242,101.437759
243,101.424139
244,101.410521
245,101.396906
246,101.383294
247,101.369684
248,101.356077
